Opcode,Name (Nvidia),Name (Guess)
AL2P,,
ALD,,
AST,,
ATOM,Atomic Operation on Generic Memory,
ATOMS,Atomic Operation on Shared Memory,
B2R,Move Barrier To Register,
BAR,Barrier Synchronization,
BFE,,Bit Field Extract
BFI,,Bit Field Insert
BPT,BreakPoint/Trap,
BRA,Relative Branch,
BRK,,Break
BRX,Relative Branch Indirect,
CAL,,
CCTL,Cache Control,
CCTLL,Cache Control,
CCTLT,Texture Cache Control,
CONT,,Continue
CS2R,Move Special Register to Register,
CSET,,
CSETP,,
DADD,FP64 Add,
DEPBAR,Dependency Barrier,
DFMA,FP64 Fused Mutiply Add,
DMNMX,,FP64 Minimum/Maximum
DMUL,FP64 Multiply,
DSET,,FP64 Compare And Set
DSETP,FP64 Compare And Set Predicate,
EXIT,Exit Program,
F2F,Floating Point To Floating Point Conversion,
F2I,Floating Point To Integer Conversion,
FADD,FP32 Add,
FADD32I,FP32 Add,
FCHK,Floating-point Range Check,
FCMP,,
FFMA,FP32 Fused Multiply and Add,
FFMA32I,FP32 Fused Multiply and Add,
FLO,Find Leading One,
FMNMX,FP32 Minimum/Maximum,
FMUL,FP32 Multiply,
FMUL32I,FP32 Multiply,
FSET,FP32 Compare And Set,
FSETP,FP32 Compare And Set Predicate,
FSWZADD,FP32 Swizzle Add,
GETCRSPTR,,
GETLMEMBASE,Get Local Memory Base Address,
HADD2,FP16 Add,
HADD2_32I,FP16 Add,
HFMA2,FP16 Fused Mutiply Add,
HFMA2_32I,FP16 Fused Mutiply Add,
HMUL2,FP16 Multiply,
HMUL2_32I,FP16 Multiply,
HSET2,FP16 Compare And Set,
HSETP2,FP16 Compare And Set Predicate,
I2F,Integer To Floating Point Conversion,
I2I,Integer To Integer Conversion,
IADD,Integer Addition,
IADD3,3-input Integer Addition,
IADD32I,Integer Addition,
ICMP,,
IDE,,
IDP,Integer Dot Product and Accumulate,
IDP4A,Integer Dot Product and Accumulate,
IMAD,Integer Multiply And Add,
IMAD32I,Integer Multiply And Add,
IMADSP,,
IMNMX,Integer Minimum/Maximum,
IMUL,Integer Multiply,
IMUL32I,Integer Multiply,
IPA,,
ISBERD,,
ISCADD,Scaled Integer Addition,
ISCADD32I,Scaled Integer Addition,
ISET,,
ISETP,Integer Compare And Set Predicate,
JCAL,,
JMP,Absolute Jump,
JMX,Absolute Jump Indirect,
KIL,,Kill Thread
LD,Load from generic Memory,
LDC,Load Constant,
LDG,Load from Global Memory,
LDL,Load within Local Memory Window,
LDS,Load within Shared Memory Window,
LEA,LOAD Effective Address,
LEPC,Load Effective PC,
LONGJMP,,
LOP,Logic Operation,
LOP3,Logic Operation,
LOP32I,Logic Operation,
MEMBAR,Memory Barrier,
MOV,Move,
MOV32I,Move,
MUFU,FP32 Multi Function Operation,
NOP,No Operation,
OUT,,
P2R,Move Predicate Register To Register,
PBK,,
PCNT,,
PEXIT,,
PIXLD,,
PLONGJMP,,
POPC,Population count,
PRET,,
PRMT,Permute Register Pair,
PSET,,
PSETP,Combine Predicates and Set Predicate,
R2B,Move Register to Barrier,
R2P,Move Register To Predicate Register,
RAM,,
RED,Reduction Operation on Generic Memory,
RET,Return From Subroutine,
RRO,,
RTT,Return From Trap,
S2R,Move Special Register to Register,
SAM,,
SEL,Select Source with Predicate,
SETCRSPTR,,
SETLMEMBASE,Set Local Memory Base Address,
SHF,Funnel Shift,
SHFL,Warp Wide Register Shuffle,
SHL,Shift Left,
SHR,Shift Right,
SSY,,
ST,Store to Generic Memory,
STG,Store to Global Memory,
STL,Store to Local Memory,
STP,,
STS,Store to Shared Memory,
SUATOM,Atomic Op on Surface Memory,
SULD,Surface Load,
SURED,Reduction Op on Surface Memory,
SUST,Surface Store,
SYNC,,
TEX,Texture Fetch,
TEXS,,
TLD,Texture Load,
TLD4,Texture Load 4,
TLD4S,,
TLDS,,
TMML,Texture MipMap Level,
TXA,,
TXD,Texture Fetch With Derivatives,
TXQ,Texture Query,
VABSDIFF,Absolute Difference,
VABSDIFF4,Absolute Difference,
VADD,,
VMAD,,
VMNMX,,
VOTE,Vote Across SIMD Thread Group,
VSET,,
VSETP,,
VSHL,,
VSHR,,
XMAD,,